Date,Open,High,Low,Close,Volume
2025-05-26 06:00:00+00:00,177.62,178.21,177.24,177.96,108995.072
2025-05-26 07:00:00+00:00,177.97,179.02,177.2,178.16,121672.484
2025-05-26 08:00:00+00:00,178.15,178.36,177.18,177.39,81761.764
2025-05-26 09:00:00+00:00,177.4,177.92,176.64,176.82,70393.178
2025-05-26 10:00:00+00:00,176.81,177.33,176.42,176.76,72735.071
2025-05-26 11:00:00+00:00,176.76,178.0,176.46,177.91,76718.615
2025-05-26 12:00:00+00:00,177.91,178.53,177.23,178.17,74812.502
2025-05-26 13:00:00+00:00,178.17,178.76,176.04,176.69,114705.236
2025-05-26 14:00:00+00:00,176.69,177.41,175.89,176.71,93231.725
2025-05-26 15:00:00+00:00,176.72,178.8,176.27,177.49,111849.037
2025-05-26 16:00:00+00:00,177.49,178.06,175.18,175.65,136537.687
2025-05-26 17:00:00+00:00,175.64,176.21,173.76,173.98,119000.539
2025-05-26 18:00:00+00:00,173.98,175.04,173.48,174.19,66413.03
2025-05-26 19:00:00+00:00,174.19,174.56,173.7,174.05,48356.802
2025-05-26 20:00:00+00:00,174.05,175.39,173.64,175.38,73812.126
2025-05-26 21:00:00+00:00,175.38,175.56,174.3,175.04,42144.031
2025-05-26 22:00:00+00:00,175.04,176.04,174.0,174.2,53555.57
2025-05-26 23:00:00+00:00,174.2,175.0,173.9,174.91,39630.779
2025-05-27 00:00:00+00:00,174.92,175.79,174.01,174.13,53163.575
2025-05-27 01:00:00+00:00,174.13,174.13,171.24,172.09,222802.03
2025-05-27 02:00:00+00:00,172.09,173.17,171.77,172.35,91961.501
2025-05-27 03:00:00+00:00,172.34,174.1,172.34,173.51,75004.671
2025-05-27 04:00:00+00:00,173.5,174.24,172.97,173.17,54749.467
2025-05-27 05:00:00+00:00,173.17,173.99,172.5,173.59,56750.525
2025-05-27 06:00:00+00:00,173.59,175.27,173.56,173.59,114912.744
2025-05-27 07:00:00+00:00,173.6,175.9,173.59,175.46,83746.663
